,Summary,Date,JobTitle,AuthorLocation,OverallRating,Pros,Cons,Company,negative,neutral,positive,compound
160,as a casual,"Jun 5, 2020", Beauty Advisor,"London, England",4.0,i enjoy time with my workmates great startingcasual retail job as pays well free products,upper management has some major powertrips,L'Occitane,0.0,0.357,0.643,0.2023
161,an average place for a beginner to start,"Jun 4, 2020", Assistant Manager,"Phoenix, AZ",3.0,a good place for starters,the culture of brand is not that good and the benefits to employeess suck,L'Occitane,0.0,1.0,0.0,0.0
162,beauty advisor,"May 18, 2020", Customer Service Associate,"London, England",5.0,excellent working environment good training lovely staff amazing products,sometimes can get a bit quiet in store so left with not much to do,L'Occitane,0.0,0.208,0.792,0.5859
163,not what they say they are,"Apr 6, 2020", Management,"London, England",1.0,good free products every month,reactive and disorganised not a people culture like they say they are,L'Occitane,0.0,1.0,0.0,0.0
164,anyway,"Mar 23, 2020", SSA,"New York, NY",2.0,monthly allocation good staff discount,head office are extremely out of touch and give useless or unhelpful advice to stores as they have no clue what goes on in store they set unreachable targets and then ask why you didnt reach it some staff are spies for head office and will try to pry information out of you to run back and snitch,L'Occitane,0.0,1.0,0.0,0.0
165,amazing company,"Jan 21, 2020", Casual Beauty Advisor,"Indianapolis, IN",5.0,friendly encouraging and caring team nice atmosphere loccitane has strong values a love for nature quality products upper management is great paysalary is healthy,its a luxury skincare boutique so the store can be quiet at times and days can be a little slow ,L'Occitane,0.0,0.208,0.792,0.5859
166,xmas temp,"Jan 18, 2020", Xmas Temp,"Wilmington, DE",4.0,good pay good manaegment friendly environment gave good training,no real cons everything was good,L'Occitane,0.0,1.0,0.0,0.0
167,excellent working environment and company culture,"Jan 15, 2020", Assistant Manager,Mumbai,5.0,staff benefits is excellent proper training every time,it is a little bit under staff not enough budget hours,L'Occitane,0.0,0.575,0.425,0.5719
168,loccitane is a decent company to start out with,"Jan 13, 2020", Anonymous Employee,"Birmingham, England",3.0,the products are amazing and do work its an easy going work environment with a lot of opportunity to be your own leader a coached with the proper management very generous discount and gratis,poor communication with corporate offices not enough room for growth lack proper amount of hours according to goals and operational tasks,L'Occitane,0.0,1.0,0.0,0.0
169,store manager,"Jan 7, 2020", Retail Store Manager,"New York, NY",3.0,feels like family and good value brand,salary review is very poor,L'Occitane,0.0,1.0,0.0,0.0
170,good experience,"Nov 15, 2019", Store Manager,"New York, NY",5.0,great products people and fun,slow pace brand not well know and long hours,L'Occitane,0.0,0.256,0.744,0.4404
171,problematic ,"Nov 15, 2019", Corporate,"Toronto, ON",1.0,people and co workers nice stores company aspiration,inconsistent leadership overly complicated operations,L'Occitane,1.0,0.0,0.0,-0.4404
172,it was quite interesting tbh,"Nov 5, 2019", Christmas Temp Customer Assistant,Melbourne,5.0,money money money and money yes money,nothing really if i am honest,L'Occitane,0.0,0.572,0.428,0.4576
173,no worklife balance,"Sep 26, 2019", Store Manager,"Orange, CA",3.0,very decent health benefits off discount consistent gratis with each campaign lots of learning and development tools,micromanagement pay spread thin and wearing multiple hats each day constant turn over in corporate office lack of action from hr complaints,L'Occitane,0.524,0.476,0.0,-0.296
174,nice team to work with,"Sep 23, 2019", Retail Sales Associate,"London, England",4.0,nice corporate environment nice pay nice team,management changes a lot not much opportunity to progression,L'Occitane,0.0,0.588,0.412,0.4215
175,okay for parttime,"Sep 17, 2019", Beauty Advisor,"Manchester, England",3.0,lucky to have an amazing team of people to work with,the pay did not reflect the work load and pressures to sell over the years the benefits and rewards decreased,L'Occitane,0.0,0.513,0.487,0.2263
176,very pleasant,"Sep 17, 2019", Senior Sales Associate,"Liverpool, England",5.0,if you have a good team and proactive store manager working here is both pleasant and enjoyable great quality customers who know their stuff and enjoy the luxury atmosphere good pay decent staff discount training provided, work life balance sometimes difficult with random shift patterns,L'Occitane,0.0,0.218,0.782,0.5563
177,people friendly employer,"Sep 9, 2019", Boutique Manager,"New York, NY",4.0,concerns are listened to and addressed regular anonymous feedback is gained which does effect change within the business overall ethics within the company are strong and people environment focused,compassionate leave is weaker than other companies ive worked for,L'Occitane,0.0,0.385,0.615,0.4939
178,it has been an amazing job for the short amount of time being here,"Aug 9, 2019", Customer Care Advisor,"London, England",5.0,my interview with the manager was one of the most relaxed interview i felt comfortable talking to her about previous work experience and talking about myself the induction process is very thorough and there are so many perks to the job when starting you get a generous amount of products and every month we get product allocations its one of the best places to work in for a reason the team that i work with have been very welcoming and i am very lucky that i have great people to work with,so far so good no cons,L'Occitane,0.0,0.774,0.226,0.5859
179,love this job,"Aug 8, 2019", Anonymous Employee,"San Francisco, CA",5.0,love the environment and team,havent found it yet not sure,L'Occitane,0.0,0.323,0.677,0.6369
180,love it at loccitane,"Jul 29, 2019", Store Manager,"Washington, DC",5.0,great place to work i feel seen and heard as an employee,if you are looking for manager position where you can just sit in the back and do reports this is not the job for you,L'Occitane,0.0,0.417,0.583,0.6369
181,unprofessional and demanding,"Jul 29, 2019", Artisan,"Denver, CO",1.0,team are lovely you will meet the loveliest colleagues,management are poor barely ever there no regard for well being or progression of staff,L'Occitane,0.839,0.161,0.0,-0.6369
182,extremely stressful,"Jul 28, 2019", Store Manager,"Dublin, Dublin",3.0,benefits are better than average very generous associates discount and gratis wonderful products very good company overall,us division has lost sight of why we exist they are more concerned with filling out reports regurgitating everything back to them in another report than taking care of the customer the micro management is over the top there is mistake after mistake in shipments from corporate but the stores are held to higher standards there has been tremendous turnover at the corporate level and the stores and business are suffering from it,L'Occitane,0.782,0.218,0.0,-0.5563
183,a hands on rewarding role responsible for all aspects of running a business,"Jul 4, 2019", Anonymous Employee,"New York, NY",5.0,amazing work culture open and transparent communication with stores and head office departments,my experience has only been positive,L'Occitane,0.0,0.612,0.388,0.6908
184,its a great start,"Jul 3, 2019", Beauty Advisor,"Canada, KS",3.0, employee discount free product potential for a raise upon annual review ability to earn a weeklybonus positions available in corporate are advertized openly in the bonjour, the bonus is teambased so if you hit andor exceed your sales goal but your team doesnt your hard work went to waste,L'Occitane,0.0,0.328,0.672,0.6249
185,amazing company,"Jun 24, 2019", Sales Advisor,"London, England",3.0,good staff discount free products every month generally good products,some selling ethics were not ideal had to push to sell one skincare product to everyone even if it did not suit them manager was horrible person to deal with on top of that they claimed products would produce magical results based on a test on women or less products are advertised as cruelty free however they are not due to them selling in china,L'Occitane,0.0,0.208,0.792,0.5859
186,at happy,"Jun 23, 2019", Store Manager,"São Paulo, São Paulo",4.0,great products new and classic supportive peers,salary is not on par with other companies hiring too many inexperienced managers,L'Occitane,0.0,0.213,0.787,0.5719
187,an okay job,"Apr 26, 2019", Beauty Advisor,"Houston, TX",3.0,free products pay everyone is like family,hours no growth worklife balance is not ideal,L'Occitane,0.0,0.513,0.487,0.2263
188,lovely company,"Apr 23, 2019", ,"New York, NY",5.0,always feel truly supported by the corporate chain of command lots of transparency from corporate,the new fiscal year always brings some kind of massive change to company structure inconsistency at the top,L'Occitane,0.0,0.208,0.792,0.5859
189,great company to work for outside the us,"Apr 18, 2019", Former Manager,"Sheffield, England",2.0,gratis worklife balance and medical insurance,this company is very biased when it comes to reward recognition compensation fairness north america is being led by hr corporate leaders with no relative work experience and lack of true strategy its a shame because the brand is truly great,L'Occitane,0.0,0.631,0.369,0.6249
190,amazing,"Apr 9, 2019", Senior Sales Associate,"Los Angeles, CA",5.0,the team are all lovely there is such a buzz around the brand and staff have a genuine interest in the products and the stories behind loccitane,the only con i would say is the working hours but that is retail we are required to do lots of late nights and weekends,L'Occitane,0.0,0.0,1.0,0.5859
191,associate assistant manager,"Apr 7, 2019", Assistant Manager,"Phoenix, AZ",2.0,easy good hours and operations were not difficult,you are expected to sell product that has little to no marketing around it customers that shop are loyalists but others that come in arent interested in product los angeles department was run poorly with issues with staffing hours and pay,L'Occitane,0.0,1.0,0.0,0.0
192,started out great,"Apr 4, 2019", Beauty Advisor,"Atlanta, GA",2.0,gratis generous discount loyal customers,no hours at all have to take others if you want to work by yourself a lot small amount of hours for the store manager automatically sucks up of them you and everyone else get leftovers hard to move up no benefits for pt and thats all they take in store,L'Occitane,0.0,0.328,0.672,0.6249
193,work on pay rate,"Mar 26, 2019", Beauty Advisor,"Victoria, BC",2.0,gratis discount easy job,they dont pay you for what youre worth but expect you to do so much,L'Occitane,0.318,0.682,0.0,-0.1027
194,great company if you dont wish to grow,"Mar 25, 2019", Anonymous Employee,"Livermore, CA",3.0,wonderful climate warm great ethics,no growth unless you are close to upper management a track record of success often times is overlooked if you dont socialize with the right people,L'Occitane,0.183,0.486,0.332,0.4295
195,sales associate,"Mar 18, 2019", Anonymous Employee,"Washington, DC",3.0,great people to work with and understanding,low salary and no benefits,L'Occitane,0.0,1.0,0.0,0.0
196,great company and products,"Mar 3, 2019", Store Manager,"Ellesmere Port, England",3.0,amazing products staff discount opportunity to travel to conferences in great locations,working on all holidays weekends long hours standing on your feet,L'Occitane,0.0,0.423,0.577,0.6249
197,okay but wouldnt go back,"Feb 28, 2019", Anonymous Employee,"Harrogate, England",3.0,possibility to work on cross tream projects possibility to move laterally to another position great social comitteee met really nice people good products flexible hours lot of holidays,management has no consideration for executives unachievable targets vs budgets allocated management will never address the problem very bad salaries compared to market hypocrisy from management lot of politics,L'Occitane,0.0,0.734,0.266,0.1154
198,store manager,"Jan 14, 2019", Anonymous Employee,"Indianapolis, IN",4.0,let you grow your business,working with little hours for the week,L'Occitane,0.0,1.0,0.0,0.0
199,products rock company sucks,"Jan 10, 2019", Beauty Advisor,"New York, NY",2.0, off discount good products,antiquated overly complicated register system that they will not train you on asking for too much customer information for their customer loyalty program absurd sales expectations with no commission lying to customers about sales leaving you alone to call a hotline that may or may not be able to help you with customers or the register passive aggressive micromanagers who gossip with other managers nationwide and play favorites little to no work life balance,L'Occitane,0.455,0.545,0.0,-0.3612
200,great company but limited opportunities for progression,"Jan 9, 2019", Store Manager,"Bath, England",4.0,great people fantastic products and repeat customers who really love the brand and give you a chance to get to know them,limited growth beyond store manager roles which is frustrating when you love working there but just cant get any further,L'Occitane,0.191,0.325,0.484,0.5574
201,best job,"Jan 5, 2019", Sales Associate,"San Diego, CA",5.0,they treat you like a person not a number best job ive ever worked at the pay is great alongside a fab bonus and amazing staff discount started as a christmas temp and havent left also very eco friendly with great ethics,the brand itself can be a bit outdated with views on offers and lack of new technology,L'Occitane,0.0,0.192,0.808,0.6369
202,great company ideals slow progress for employees,"Dec 29, 2018", Assistant Manager,"London, England",4.0,great products plenty of educational materials to make even an inexperienced member feel confident in selling the product good incentives for meeting sales goals cash bonus based on sales and fun prizes during the holidays free product each month,slow progression for anyone looking to move up even when positions are opened and applied for it takes so long to get any response back as to the progress of the application and no compensation is made even when one has been taking the lead in the position in question while waiting for the title,L'Occitane,0.0,0.315,0.685,0.8271
203,parttime employee,"Dec 17, 2018", Part-time Sales Assistant,"London, England",3.0,good products great team incentives,no commission made lack of fulltime employment opportunities,L'Occitane,0.0,1.0,0.0,0.0
204,amazing company amazing people,"Dec 14, 2018", Anonymous Employee,"London, England",5.0,great values company is very dedicated to giving back to nature and has amazing commitments that i feel like each member of staff contributes to,i have been working here for year and i havent found there to be many,L'Occitane,0.0,0.208,0.792,0.8225
205,a great company to work for,"Dec 14, 2018", Human Resources Intern,"New York, NY",5.0,high morale in the office learning different things everyday taking part in training and brushing up on product knowledge fair pay a good team environment bonus scheme generous holiday,nothing to report as of yet,L'Occitane,0.0,0.494,0.506,0.6249
206,great company,"Dec 8, 2018", Anonymous Employee,"London, England",4.0,great team spirit and flexible hours especially for a parttimer,pay could be a bit better,L'Occitane,0.0,0.196,0.804,0.6249
207,lack of knowledge in science,"Dec 4, 2018", Anonymous Employee,"London, England",2.0,the hourly wage and bonus are relatively higher than similar jobs at other companies as an employee you get free products every month and an attractive discount for any of your purchases the reward for exceeding your team target is quite good too however the target is set to be much higher than inflation which is very difficult for most teams to reach all stores seem to have the common problem of being understaffed the workload becomes incredible,my biggest problem is with their claims about their products and lack of scientific knowledge i went on a skincare training to listen to some marketing staffs talking about dermatology and epigenetics which they dont fully understand and just made up false claims for example they said one of their products can work at an epigenetic level they believed that epigenetics is the genetic study of the epidermis in fact epigenetics is the study of heritable phenotype changes of ones gene therere wild claims about what plant extracts do to your skin and body not backed with robust scientific studies in all their training materials the customer base of this brand is also made up of people who dont believe in science and research the companys claims feed to these types of customers,L'Occitane,0.365,0.635,0.0,-0.3182
208,sales executive,"Oct 24, 2018", Anonymous Employee,"San Francisco, CA",5.0,friendly coworkers and collaborative work environment excellent training opportunities,slow to renovate stores and targets needed to be more store specific,L'Occitane,0.0,1.0,0.0,0.0
209,sales associate,"Oct 24, 2018", Anonymous Employee,"El Segundo, CA",3.0,easy product to sell if youre trained well enough youll have fun handing out expensive lotions,gratis sucks uniform is uncomfortable management cares about managers not associates micromanaging from top down,L'Occitane,0.0,1.0,0.0,0.0
210,amazing company overall,"Oct 11, 2018", Anonymous Employee,"Atlanta, GA",5.0,amazing company and brand to work for,i have not experienced many cons so far,L'Occitane,0.0,0.345,0.655,0.5859
211,better things are coming,"Oct 9, 2018", Anonymous Employee,"Brea, CA",5.0,love coming to work family atmosphere room to grow ideas are heard and put into action employee discount year wellness budget healthdentalvision benefits for pt employees contests to win trips,if you have an issue adapting to change then this company wont be the right fit for you locci recognizes there have been mistakes made that have left employees unhappy so there is a strategy and action plan in place to fix that pay isnt competitive at the store level company is working on being higher than the market over the next year,L'Occitane,0.0,0.508,0.492,0.4404
212,lovely job lovely products,"Sep 24, 2018", Sales Advisor,Kilkenny,4.0,discounts allocation of products every month lovely products great staff opportunities for bonus if you reach a target with your colleagues,very slow paced environment not much training given other than what colleagues give to you or teach yourself,L'Occitane,0.0,0.208,0.792,0.8225
213,pay well but thats about it,"Sep 20, 2018", Store Manager,"London, England",2.0,staff discount is great and the training is frequent,where to start loan trading is horrendous due to tight budgets set by area management lack of support given the company have a prosperity work ethic which upper management did not adhere to whats so ever but love to preach it store covering constantly across area spending own money on fuel food etc to then have to wait up to to receive it back after lengthy expense forms overly high targets that were absolutely not achievable especially when our main competitor was their own online shop offering better deals than in store had the list is endless sadly,L'Occitane,0.178,0.593,0.23,0.09
214,senior sales assistant,"Sep 19, 2018", Senior Sales Associate,New Delhi,2.0,get to test out a lot of products,management were awful and couldnt deal with the simplest tasks,L'Occitane,0.0,1.0,0.0,0.0
215,average,"Sep 7, 2018", Analyst,Chandigarh,2.0,small organization with helpful colleagues not much work pressure for some designations good salary for higher management,nowadays office politics is increased not much to learn small organization non transparency unbalanced salaries and work load favouritism and nepotism,L'Occitane,0.0,1.0,0.0,0.0
216,average top management still very old school working style,"Aug 23, 2018", Anonymous Employee,"Port Saint Lucie, FL",3.0,great brand to have on your resume competitive pay scale,top management lacks direction needed to drive a luxury brand in indian market,L'Occitane,0.0,0.816,0.184,0.2023
217,beautiful work locations not so great work atmosphere,"Aug 20, 2018", LMT,Geneva,3.0,very good quality products to use and work with one of a kind protocols for many different services gorgeous spas in awesome locations,low pay very demanding poor leadership no loyalty no paid training and training on services is few and far between,L'Occitane,0.295,0.427,0.278,-0.0615
218,open minded,"Aug 19, 2018", Intern,"London, England",5.0,welcoming challenging and enterprenerial atmosphere,no cons the hiring process is really fast,L'Occitane,0.0,1.0,0.0,0.0
219,enjoyable experience with the company but will need to pay more to keep retail employees,"Aug 19, 2018", Beauty Advisor,"New York, NY",4.0,above minimum wage lots of free products yearly money that could can spend on say gym classes art lessons ect discount on products,need to upgrade their customer loyalty program and fix their register software its clunky,L'Occitane,0.097,0.785,0.118,0.09
220,sales associate,"Jul 25, 2018", Anonymous Employee,"London, England",3.0,the company gave a good discount to their employees,they did not really give full time postions,L'Occitane,0.0,1.0,0.0,0.0
221,one of the best,"Jul 21, 2018", Store Manager,"London, England",4.0,generous discount monthly allocation lovely customers really organised training,expensive products management either never respond or micromanage not much middle ground,L'Occitane,0.0,0.417,0.583,0.6369
222,good company,"Jul 18, 2018", Anonymous Employee,"Vancouver, BC",5.0,great work team good salary good environment,new contract system need to update selling strategies,L'Occitane,0.0,0.256,0.744,0.4404
223,seasonal sales associate,"Jul 9, 2018", ,"Seattle, WA",3.0,the shops are lovely and the products are the best,as my first real job i was naive and when my manager told me i couldnt leave the store to have lunch i didnt question it so i had to sit in the box of a back room for al my breaks got left alone in the store a lot when a senior member wanted to go christmas shopping which was definatly not allowed as i was only temparoy trained to bother customers as soon as they enter the store which meant there where a lot of unhappy people making comments at me but it was either that or get strictly told off for not interacting with customers,L'Occitane,0.0,1.0,0.0,0.0
224,great company,"Apr 26, 2018", Boutique Manager,"London, England",4.0,great company to work looking well after their employees and has a lot to offer in terms of perks and incentives free products every month bonus scheme and pension scheme training people and looking for talents within the company giving opportunities to grow when possible,monthly targets are unrealistic some times big expectations for small boutiques in smaller towns,L'Occitane,0.0,0.196,0.804,0.6249
225,beauty consultant,"Apr 22, 2018", Anonymous Employee,"New York, NY",4.0,great products staff discount friendly working environment,sometimes it gets a bit boring,L'Occitane,0.0,0.208,0.792,0.5859
226,be accountable for everything and have a back up plan,"Apr 17, 2018", ,"Stratford, England",1.0,great hours great incentives and competitive salary no time to get bored as always something to do great store team,high expectations lack of support poor delivery of training in store in a timely manor and like to in bed the prosperity concept but do not follow themselves,L'Occitane,0.0,1.0,0.0,0.0
227,do not recommend working here,"Apr 7, 2018", Sales Associate,"London, England",1.0,the store always smelled good,low pay mean managers had to a lot of tasks that were never mentioned training without pay,L'Occitane,0.345,0.655,0.0,-0.2755
228,fab company to work for,"Apr 4, 2018", Retail Sales Associate,"San Francisco, CA",5.0, fair hours good wages good incentives friendly staff good company morals fantastic discount and free products monthly, must have a lot of product knowledge which is hard to pick up straight away quite high daily targets are set which can be stressful especially for the managers,L'Occitane,0.0,0.571,0.429,0.4588
229,great culture poor wages,"Mar 14, 2018", Sales Associate,"New York, NY",3.0,instore management is very strong and transparent in leadership on the retail floor level are very personable wellrounded individuals familylike laid back atmosphere spalike indulgent great gratis amazing product you believe in,false incentives no bonus breakdowns condescending emailsattitudes from the upper level,L'Occitane,0.337,0.217,0.446,0.25
230,sales,"Mar 12, 2018", Anonymous Employee,"Cambridge, England",3.0,great benefits and pay was good,bad location moved from a prime location,L'Occitane,0.0,1.0,0.0,0.0
231,best job ever,"Feb 15, 2018", Sales Associate,"Mississauga, ON",5.0,best job ever due to being treated well by management allocation free products good discount not stressful at christmas,no cons at all would recommend,L'Occitane,0.0,0.323,0.677,0.6369
232,fulltime internal,"Feb 13, 2018", Anonymous Employee,"Miramar Beach, FL",4.0,great internship program fully structured and a beneficial learning experience employee discount when interning there as well which is nice and it is paid conveniently located in midtown as well just minutes from penn station,some departments dont really know what to give their interns and others treat them like fulltime associates hope this has changed,L'Occitane,0.0,1.0,0.0,0.0
233,ok,"Jan 12, 2018", Regional Account Executive,"New York, NY",4.0,good companygood coworkersamazing company culturetransparency and good access to leadership,no forward mobility no growth potential,L'Occitane,0.0,0.0,1.0,0.296
234,loccitane job,"Jan 9, 2018", Part Time Sales Associate,"Central Valley, NY",3.0,great team the girls are amazing and well rounded the customers are friendly as well some are international so you get to meet people from all over the world,the manager is amazing the workplace can become very intense at times tho theres also a lot of favoritism and hard work doesnt get recognized,L'Occitane,0.0,1.0,0.0,0.0
235,loccitane in provence,"Jan 8, 2018", Sales Associate,"San Jose, CA",5.0,one of the easiest and laid back jobs ive had its a small boutique but knowledge of every product and how it is beneficial is required there is little traffic if it is not holiday but there is a sales goal everyday i genuinely loved all the products and loved being able to try everything,me being more of an introverted type found it a little difficult to sell the products the only way a customer will know or want to buy a product is if the seller tells them about it and sells the product loccitanes products are not cheap so it will take some convincing for most customers to buy products,L'Occitane,0.0,1.0,0.0,0.0
236,manager,"Jan 5, 2018", Anonymous Employee,"Brighton, England",3.0,just so so free sample,low pay bad management long hours stand,L'Occitane,0.0,1.0,0.0,0.0
237,sales associate,"Jan 4, 2018", ,"Atlanta, GA",5.0,good training competitive salary good staff discounts excellent team,poor communication between area managers and in store managers dress code no formalised stock room no toilets expect a lot for amount paid,L'Occitane,0.0,1.0,0.0,0.0
238,good place to experience cosmetic marketing,"Jan 1, 2018", ,"Torrance, CA",3.0,discounted products for employees various skus so good to experience cosmetic marketing,not sure about the growth in some markets,L'Occitane,0.0,0.633,0.367,0.4404
239,senior level manager,"Nov 25, 2017", Senior Project Manager,"New York, NY",3.0,there are a large number of growth opportunities for individuals there is a reactive business approach to grow sales within the organization,there is a lack of clear strategic direction from senior managers also have a high number of inexperienced managers and skilled managers a culture of fear exists within the corporate environment decisions are then made by france high turnover senior managers use your ideas to advance there own agendas and careers,L'Occitane,0.0,1.0,0.0,0.0
240,bad wage practices terrible bonus,"Nov 6, 2017", Part Time Sales Associate,"Denver, CO",3.0,good discount managers are usually team players good product beautiful stores,everyone from is talking about the upper management because its bad but i am going to focus on the wage issue i worked at loccitane for over year on per hour coming up on my second year a new hire was hired at a much higher wage than me this happens in this company a lot also our store exceeded our sales goals overwhelmingly the company gives yearly bonuses depending on your entire stores performance it is not based on individual numbers at all you receive the same bonus as the whole store our store did amazingly last year and we got the same bonus as our neighboring store even though they tanked that year their sales were awful so my coworkers were very very demoralized our efforts stood out but it was for nothing we did get bonuses based on sales on certain months but our overall pay raises were not given priority they rate your store on a gpa scale we got something around and the other store got a or something yet we revived the same raise as them killing our moral completely not to mention the new hire automatically was given a higher wage than i despite the raise i was given very demoralizing and the store hasnt been the same ever since,L'Occitane,0.545,0.165,0.289,-0.4767
241,worst management,"Nov 3, 2017", Anonymous Employee,"New York, NY",1.0,monthly gratis and free products,one of the worst management i have ever seen management plays favourites provides zero support discriminates between parttime and fulltime staff my manager is one of the worst has zero people management skills just merely getting a promotion because lady luck was on her side but is totally hopeless when managing staff she will never get that title if she ever thinks of leaving this company,L'Occitane,0.804,0.196,0.0,-0.6249
242,company has a lot to learn,"Oct 29, 2017", Anonymous Employee,"London, England",2.0,gratis some wonderful people in the retail setting decent product,terrible upper management and corporate marketing and sales training is an absolute mess can never admit to their inabilities as a company,L'Occitane,0.0,1.0,0.0,0.0
243,disheartening,"Oct 28, 2017", Assistant Store Manager,"Huntington Station, NY",2.0,gratis per month but it is cheapest option available you dont get icons but you expect to sell them every day for full timers are two items to take home lovely products to work with customers usually friendly and easy going,countless upper management offering absolutely no support when you need them also you are frequently left alone on a floor because of tight budget you feel like you are in high school again fake prosperity motto no one higher up follows backstabbing and promoting friends,L'Occitane,1.0,0.0,0.0,-0.4215
244,caddy shack,"Oct 21, 2017", Assistant Store Manager,"New York, NY",2.0,loved the product and the discount anti aging skin care was my favorite lots of perks and bonus opportunity if you work hard,depending on the manager you might be stuck with a know it or a do nothing type working with women is not easy however it was here that i had my worst experience they pretend you are a friend and then stab you in the back at the first opportunity lesson learned nobody is a friend,L'Occitane,0.0,1.0,0.0,0.0
245,unfair wage practices,"Oct 19, 2017", Sales Associate/Cashier,"Chicago, IL",1.0,love the products and true stories if you love french culture you will love working at loccitane,the wage gaps between employees are unfair and creates negative morale for the team compounded by the fact that they have to work together in such small physical space together,L'Occitane,0.608,0.392,0.0,-0.4767
246,good if youre studying and need something parttime,"Oct 18, 2017", ,"London, England",3.0,great environment lovely people the products and campaigns are fun and interesting dont usually get particularly bad customers which is nice,management are very unorganised and theres a lot of backstabbing they talk about this prosperity acronym and push you to follow it but they dont the way they make you talk to customers and tell you to be positive all the time is very annoying the heavy emphasis placed on kpis can be very disheartening especially if you dont achieve that your shifts get cut if youre not consistently up to a certain standard for a period of time even if its not your fault they talk about being customercentric but they push you to sell certain things and reach certain targets that means you cant actually think about the customer but only about your targets the hours vary placed on the store but unless your the bm or abm you dont get very good hours,L'Occitane,0.0,0.707,0.293,0.4404
247,sales associate,"Sep 30, 2017", Sales Associate,"Cabazon, CA",2.0,great skin care great team to work with,great skin care you want to buy everything in the store,L'Occitane,0.0,1.0,0.0,0.0
248,director,"Sep 27, 2017", Leadership,"New York, NY",1.0,great brand great product a lot of great history,the leadership in hr is a farce lack of smarts humility and horrible at partnerships leadership should wake up to the reality that their hr support for new york is a joke and lacks the ability to be strategic,L'Occitane,0.0,1.0,0.0,0.0
249,christmas sales associate,"Sep 27, 2017", Anonymous Employee,"Thousand Oaks, CA",3.0,relatively fun great staff support system work incentives extensive product training provided friendly environment,relatively short contract didnt gain enough retail or work experience no opportunities for renewed contract or progression guaranteed or provided,L'Occitane,0.0,1.0,0.0,0.0
250,good company spoiled by staff,"Sep 24, 2017", Anonymous Employee,"Seattle, WA",4.0,the company is generous discount allocation incentives ngos the products are lovely and the customers are largely very nice people,head office can take an age to reply positions held for people without giving other the fair chance to apply some of the team i work with are awful lazy entitled and manipulative,L'Occitane,0.0,0.58,0.42,0.4404
251,assistant manager,"Aug 26, 2017", Anonymous Employee,Deeside,5.0,great benefits great product and a good company,i really dont have anything to say,L'Occitane,0.0,1.0,0.0,0.0
252,nice place to work,"Aug 16, 2017", Boutique Manager,"Gloucester, England",3.0,fun easy relaxing not stressful of time great benefits plenty of management suppprt when needed not an overwhelming job,takes too long to hire transfer or promote floors are hard on your body should provide stool for employees during down time,L'Occitane,0.0,0.517,0.483,0.4215
253,locci uk,"Aug 16, 2017", Communications Manager,"New York, NY",4.0,fantastically ethical brand with amazing products and strong values,big business with a small business mentality,L'Occitane,0.0,1.0,0.0,0.0
254,severely mismanaged,"Aug 3, 2017", Anonymous Employee,"Cambridge, England",1.0, incredible people great product average employee discount gratis opportunity to gain experience beyond your job description, underqualified lt rapidly depleting hr team low pay by industry standards inexperienced people managers imaginative promotions favoritism lack of process protocol zero room for professional development ,L'Occitane,0.75,0.25,0.0,-0.4588
255,love,"Jul 27, 2017", Store Manager,Dubai,5.0,treated with respect not micromanaged trusted the products undeniably amazing customers are the best loyal to the brand decent pay challenging but fun i cant say enough about how much i enjoy working for loccitane,the only downside as a manager is finding and retaining excellent part time beauty advisors they love the job but often pursue other full time interests,L'Occitane,0.0,0.0,1.0,0.6369
256,great,"Jun 15, 2017", ,Sydney,5.0,good training good friendly co workers,non really enjoyed my time here,L'Occitane,0.0,0.0,1.0,0.6249
257,good for a start in your career,"Jun 9, 2017", Anonymous Employee,"Nottingham, England",3.0,great discount and allocation,poor hr and finance teams not competitive pay,L'Occitane,0.0,0.633,0.367,0.4404
258,really nice people,"Jun 1, 2017", Casual Sales Assistant,"London, England",4.0,everyone was really nice including manager and head office staff i had met staff discount was great as well as free products sometimes,ugly uniforms difficult customers although you experience this anywhere in retail,L'Occitane,0.0,0.393,0.607,0.4754
259,fantastic company,"May 26, 2017", Sales Assistant,"Malibu, CA",5.0,great to work for a company completely focused on their product set and have good motives behind their incentives management have always been fantastic and the company clearly values even just parttime staff christmas temp staff,not given enough free products,L'Occitane,0.0,0.217,0.783,0.5574
260,sales associate,"Apr 25, 2017", Anonymous Employee,"Los Angeles, CA",4.0,great discount products and company values,its a retail environment so of course turnover and corporate politics come with the package,L'Occitane,0.0,1.0,0.0,0.0
261,day to day,"Apr 20, 2017", Anonymous Employee,"Los Angeles, CA",5.0,learning about all the products and being able to explain to customers with full knowledge really helped make sales,i worked in debenhams on a loccitane stall often very boring and a lot of standing around,L'Occitane,0.0,1.0,0.0,0.0
262,good products horrible management,"Apr 18, 2017", Sales Associate,"London, England",3.0,great products decent gratis pretty stores,horrible management push their teams too hard expect too much and dont give room for growth,L'Occitane,0.417,0.238,0.345,-0.1531
263,unprofessional and egotistical manager,"Apr 5, 2017", Anonymous Employee,"Torrance, CA",1.0,gratis flexible schedule you work alone most of the time no real consequences for anything no real other pros to be honest,manager always late and left early would gossip about employees to other employees would be out of the store constantly codes never worked and would get yelled at when we had to override for clients dont think the company has any idea how to hire competent upper or lower management it was an overall terrible experience constructive crimson always came across as bullying or nit picking,L'Occitane,0.722,0.278,0.0,-0.6369
