,Unnamed: 0,language,summary,date,rating,negative,neutral,positive,compound,similarity
83,83,Very helpful customer service from Vivienne at L'Occitane who supplied me with a gift sachet. Much appreciated Vivienne!!,very helpful customer service from vivienne at loccitane who supplied me with a gift sachet much appreciated vivienne,2021-11-13,5,0.0,0.601,0.399,0.8516,0.9626115
84,84,Excellent customer service from Vivienne. Quick reply to my query and resolved my issue (which was ultimately my fault) very quickly and efficiently. Great experience that shows what a great company L'Occitane are to deal with.,excellent customer service from vivienne quick reply to my query and resolved my issue very quickly and efficiently great experience that shows what a great company loccitane are to deal with,2021-11-13,5,0.0,0.601,0.399,0.9482,0.9692832
85,85,Excellent customer service from Mishellina who went way beyond expectations in helping deal with an issue.,excellent customer service from mishellina who went way beyond expectations in helping deal with an issue,2021-11-09,2,0.0,0.704,0.296,0.7096,0.95650035
86,86,"The website has issues or ‘bugs’. The 10% new account offer simply doesn’t email out a code. Have now tested on multiple email addresses and on not one occasion had the advertised code appeared.Sent a message on Facebook Messenger - ignored. Sent message on Twitter - got told I didn’t click the subscribe to newsletter link even though I know I did on multiple attempts. Eventually got a code on Twitter. Tried to use the code and it accepts it but no discount is applied. A complete and utter waste of my time. An order of £127 that has taken over an hour and half so far and still not been able to order. Come on. Listen to feedback, check these bugs in your website and don’t blame the customer. Message sent on Twitter again. Will you be able to sort this to completion?  I’m doubting it…",the website has issues or bugs the  new account offer simply doesnt email out a code have now tested on multiple email addresses and on not one occasion had the advertised code appearedsent a message on facebook messenger  ignored sent message on twitter  got told i didnt click the subscribe to newsletter link even though i know i did on multiple attempts eventually got a code on twitter tried to use the code and it accepts it but no discount is applied a complete and utter waste of my time an order of  that has taken over an hour and half so far and still not been able to order come on listen to feedback check these bugs in your website and dont blame the customer message sent on twitter again will you be able to sort this to completion im doubting it,2021-11-05,5,0.077,0.894,0.029,-0.7933,0.9810173
87,87,"I want to praise L'Occitane's excellent customer service. I recently placed an order with them, which was dispatched quickly but then the package got lost within Royal Mail's system.  When tracking showed that the parcel had not moved for over a week, I contacted L'Occitane who quickly sent me a replacement order which arrived in 3 days.   Then the original parcel finally reached me.  I offered to return the duplicate package, but L'Occitane said that I could keep both.  Excellent communication and service, I'm very impressed.",i want to praise loccitanes excellent customer service i recently placed an order with them which was dispatched quickly but then the package got lost within royal mails system when tracking showed that the parcel had not moved for over a week i contacted loccitane who quickly sent me a replacement order which arrived in days then the original parcel finally reached me i offered to return the duplicate package but loccitane said that i could keep both excellent communication and service im very impressed,2021-11-03,5,0.032,0.764,0.204,0.9292,0.9590561
88,88,Bethany has been my main contact and she has been brilliant and extremely helpful.  She is knowledgeable and professional and friendly. It’s so pleasing to receive such excellent service and l wouldn’t hesitate in recommending L’Occtaine for its products and service. Eunice Amos,bethany has been my main contact and she has been brilliant and extremely helpful she is knowledgeable and professional and friendly its so pleasing to receive such excellent service and l wouldnt hesitate in recommending locctaine for its products and service eunice amos,2021-11-01,5,0.0,0.651,0.349,0.9601,0.9691204
89,89,Purchased some gifts and forgotten to add complimentary gift wrap/bags. Emailed Customer Service straight away. Rianna At Customer Care quick on responding and organised the gift bags to be sent out.Excellent service and very pleased.,purchased some gifts and forgotten to add complimentary gift wrapbags emailed customer service straight away rianna at customer care quick on responding and organised the gift bags to be sent outexcellent service and very pleased,2021-10-31,1,0.041,0.597,0.362,0.9336,0.9635434
90,90,"L'Occitane products are simply wonderful with a wide range of fragrances, products, fabulous moisture and last-longing items thus affordable, albeit they may appear expensive. I really love L'Occitane and have started my Christmas gift shopping online with them and find their Customer Service excellent. Thank you L'Occitane.",loccitane products are simply wonderful with a wide range of fragrances products fabulous moisture and lastlonging items thus affordable albeit they may appear expensive i really love loccitane and have started my christmas gift shopping online with them and find their customer service excellent thank you loccitane,2021-10-29,5,0.0,0.653,0.347,0.967,0.9698689
91,91,Fab customer experience last Sunday in the Angel shop.  I found two really helpful shop assistants help me choose a fragrance for the lovely reed diffusers. Then they also helped me pick a few early Christmas gifts from their special offers.  Thank you,fab customer experience last sunday in the angel shop i found two really helpful shop assistants help me choose a fragrance for the lovely reed diffusers then they also helped me pick a few early christmas gifts from their special offers thank you,2021-10-28,5,0.0,0.656,0.344,0.9501,0.96613777
92,92,"I visited the Bath store and was assisted by Gabriele. I roughly knew what I wanted, and Gabriele was excellent about helping me decide what to purchase. She did an excellent job :-) Loccitane is quite expensive, but you get what you pay for. Their products are lovely and such a nice gift to receive. I bought two things for my 95yo Grandma. She has pretty much all she needs, so these items are something that she uses and because they are so lovely, one of the things I can get her as a treat. The only reason I have given one less star is because I would love to see all natural ingredients. They are getting there with high percentage natural, but for me I don’t want any nasties. But overall very pleased.",i visited the bath store and was assisted by gabriele i roughly knew what i wanted and gabriele was excellent about helping me decide what to purchase she did an excellent job  loccitane is quite expensive but you get what you pay for their products are lovely and such a nice gift to receive i bought two things for my grandma she has pretty much all she needs so these items are something that she uses and because they are so lovely one of the things i can get her as a treat the only reason i have given one less star is because i would love to see all natural ingredients they are getting there with high percentage natural but for me i dont want any nasties but overall very pleased,2021-10-27,5,0.018,0.659,0.323,0.9946,0.9374502
93,93,"I contacted customer services with a “cheeky” request to obtain some additional larger gift bags for a mounting quantity of product I’d previously bought online over the many months of lockdown. Now destined for Christmas gifts, presentation is key and these intended gifts would look so much better in branded bags. Anyway, Roddy who dealt with my query, didn’t quibble and just went above and beyond. Not only did I get a generous quantity of bags but received them the following day. I, myself, have previously worked in retail for over 15yrs, and know about the vital importance of quality customer service. L’Occitane always turns up trumps and in return have my loyal and continued custom.",i contacted customer services with a cheeky request to obtain some additional larger gift bags for a mounting quantity of product id previously bought online over the many months of lockdown now destined for christmas gifts presentation is key and these intended gifts would look so much better in branded bags anyway roddy who dealt with my query didnt quibble and just went above and beyond not only did i get a generous quantity of bags but received them the following day i myself have previously worked in retail for over  and know about the vital importance of quality customer service loccitane always turns up trumps and in return have my loyal and continued custom,2021-10-27,5,0.0,0.863,0.137,0.937,0.8939612
94,94,"Very pleased to recieve my L,Occitaine order today. Had already been notified that part of my order was out of stock but still sent a free gift and given free postage even though my order was now less than the qualifying amount. Arrived on the day it was promised. Thanks will continue to be a loyal customer.",very pleased to recieve my loccitaine order today had already been notified that part of my order was out of stock but still sent a free gift and given free postage even though my order was now less than the qualifying amount arrived on the day it was promised thanks will continue to be a loyal customer,2021-10-26,5,0.0,0.648,0.352,0.98,0.9420514
95,95,"Love several items from this brand but was coerced into buying their 'relaxing soap', being assured with a sniff of something else in the range, that it was the same as the discontinued range I loved.  It wasn't.  £10 down the drain on a soap that has no noticeable fragrance whatsoever.  Would have returned for a refund but have found their policy dire in the past.",love several items from this brand but was coerced into buying their relaxing soap being assured with a sniff of something else in the range that it was the same as the discontinued range i loved it wasnt  down the drain on a soap that has no noticeable fragrance whatsoever would have returned for a refund but have found their policy dire in the past,2021-10-25,5,0.126,0.679,0.195,0.7543,0.9799097
96,96,Thank you very much to bethany and Lillian in customer service lovely people to speak with very understanding and very helpful.I wish everyone could be like that in life. Wonderful staff from llocatine.Thank you michelle crowder,thank you very much to bethany and lillian in customer service lovely people to speak with very understanding and very helpfuli wish everyone could be like that in life wonderful staff from llocatinethank you michelle crowder,2021-10-25,4,0.0,0.667,0.333,0.938,0.96635664
97,97,Received an order from l'occitane without the free gift. Emailed them and had a prompt response. Wonderful customer care!!,received an order from loccitane without the free gift emailed them and had a prompt response wonderful customer care,2021-10-20,5,0.196,0.538,0.265,0.4199,0.96914446
98,98,"I visited the Windermere store on 11th October to buy some Christmas presents,the two staff members Mandy and Annette were lovely and could not have been more helpful talking me through different options ,both staff are a credit to the organisation and were an absolute joy to do business with making the whole shopping experience perfect ,thanks so much ,what great customer care.",i visited the windermere store on october to buy some christmas presentsthe two staff members mandy and annette were lovely and could not have been more helpful talking me through different options both staff are a credit to the organisation and were an absolute joy to do business with making the whole shopping experience perfect thanks so much what great customer care,2021-10-20,5,0.0,0.654,0.346,0.9808,0.96319056
99,99,The website is customer friendly and easy to use. I used the chat for a query and Betty was the most helpful person one could find! Also chat was very quick to reply which is a bonus. There are also some miniature gifts with orders! What not to like? I love the brand and always buy in store but after this experience I will switch to online purchasing. One of the best online shopping sites ever visited. Thank you!,the website is customer friendly and easy to use i used the chat for a query and betty was the most helpful person one could find also chat was very quick to reply which is a bonus there are also some miniature gifts with orders what not to like i love the brand and always buy in store but after this experience i will switch to online purchasing one of the best online shopping sites ever visited thank you,2021-10-19,1,0.043,0.757,0.2,0.9281,0.9780146
100,100,Incredibly helpful with a not so straight forward issue. Problem resolved quickly and professionally. Thank you.,incredibly helpful with a not so straight forward issue problem resolved quickly and professionally thank you,2021-10-19,5,0.217,0.453,0.33,0.359,0.9672211
101,101,"I wanted to order a birthday gift on line and had initial questions about the delivery times.  Betty was my online chat contact and was extremely helpful, informative and quick to respond.  My questions and requests evolved as the order went on and Betty was quick to respond on each occasion.  We even lost each other and then Betty came back to my absolute delight.   I added my address details on line as requested but as the order was for a gift I understood I would add another address at a later stage. Unfortunately this did'nt happen and my order was processed with my name and address.  Betty was again quick to respond and to my surprise sent a message noting this had been amended after I understood our chat had finished.  Betty also very kindly arranged for the free samples and promotion samples to be labelled for my attention !!! (separate from the gift!)While some technical functions could be improved on the website/ on line ordering platform. [ For example:  address details/ gift address details, the gift message does not appear on your confirmation order. ]  The customer service is absolutely 100%.",i wanted to order a birthday gift on line and had initial questions about the delivery times betty was my online chat contact and was extremely helpful informative and quick to respond my questions and requests evolved as the order went on and betty was quick to respond on each occasion we even lost each other and then betty came back to my absolute delight i added my address details on line as requested but as the order was for a gift i understood i would add another address at a later stage unfortunately this didnt happen and my order was processed with my name and address betty was again quick to respond and to my surprise sent a message noting this had been amended after i understood our chat had finished betty also very kindly arranged for the free samples and promotion samples to be labelled for my attention  while some technical functions could be improved on the website on line ordering platform the customer service is absolutely ,2021-10-13,5,0.026,0.829,0.145,0.9703,0.9529637
102,102,"Excellent customer service from Roddy, speedy response to my feedback",excellent customer service from roddy speedy response to my feedback,2021-10-13,5,0.0,0.709,0.291,0.5719,0.8967497
103,103,"Brilliant quick service, I feel very valued as a customer. Roddy is an absolute star !!",brilliant quick service i feel very valued as a customer roddy is an absolute star ,2021-10-06,5,0.0,0.611,0.389,0.7902,0.84409153
104,104,I have had the pleasure of speaking with Bethany from Customer Service. She was very polite and sorted my problem so quickly that it left me very pleasantly surprised! The customer service standard definitely match the brand image. Just an overall great experience so I definitely will be back!,i have had the pleasure of speaking with bethany from customer service she was very polite and sorted my problem so quickly that it left me very pleasantly surprised the customer service standard definitely match the brand image just an overall great experience so i definitely will be back,2021-10-05,5,0.044,0.651,0.305,0.9439,0.9475571
105,105,Excellent customer service from Bethany who went above and beyond in assisting me with the  difficulty I had using a UK eGift card on the Irish website.She converted this eGift card to Euros and dealt with this incredibly quickly,excellent customer service from bethany who went above and beyond in assisting me with the difficulty i had using a uk egift card on the irish websiteshe converted this egift card to euros and dealt with this incredibly quickly,2021-09-28,5,0.058,0.852,0.09,0.3182,0.96964884
106,106,Betty from customer service dealt with my issue very efficiently and professionally. She was very polite and helpful. Thank you Betty!,betty from customer service dealt with my issue very efficiently and professionally she was very polite and helpful thank you betty,2021-09-23,5,0.0,0.678,0.322,0.8204,0.9790583
107,107,"Bought Pampelmousse Rhubarb eau de toilette and found it was reformulated and smells completely different from the original. I returned back in the post, and after contacting l’occitane both Vivienne and Roddy kindly helped me get a refund.This type of customer service is exactly the reason why I now want to continue as a customer. Was also shopping for a gift in the Dublin branch this week and found Verbena eau de toilette and green tea body milk which i am going to buy next week as they smell great. For the fragrances in my opinion best to purchase in store to really smell them properly.",bought pampelmousse rhubarb eau de toilette and found it was reformulated and smells completely different from the original i returned back in the post and after contacting loccitane both vivienne and roddy kindly helped me get a refundthis type of customer service is exactly the reason why i now want to continue as a customer was also shopping for a gift in the dublin branch this week and found verbena eau de toilette and green tea body milk which i am going to buy next week as they smell great for the fragrances in my opinion best to purchase in store to really smell them properly,2021-09-23,5,0.0,0.839,0.161,0.9517,0.9687016
108,108,"I’ve been using the loccitane Shea butter soap for years Just bought another bar  guess what another good product been changed and ruined No LatherNo lovely baby smellRevolting colour brown Who wants brown soap ,how much more natural can white be  at £9.00 a bar I can use any  other non branded bar of soap it was my little treat for years  BUT NO MORE   Lost another customer",ive been using the loccitane shea butter soap for years just bought another bar guess what another good product been changed and ruined no latherno lovely baby smellrevolting colour brown who wants brown soap how much more natural can white be at  a bar i can use any other non branded bar of soap it was my little treat for years but no more lost another customer,2021-09-22,5,0.132,0.762,0.106,-0.4385,0.96831477
109,109,"Fantastic customer service! Sometimes things go wrong when dealing with online shipments and in my case, I had an issue with the delivery. However, I called and spoke to Bethany about my issue and she fixed it straight away! She even remembered small detail I had told her to ensure her service recovery was at its best. I won’t hesitate to use L’Occitane as, even though I had a bad experience, you could tell how much their customers experience means to them.",fantastic customer service sometimes things go wrong when dealing with online shipments and in my case i had an issue with the delivery however i called and spoke to bethany about my issue and she fixed it straight away she even remembered small detail i had told her to ensure her service recovery was at its best i wont hesitate to use loccitane as even though i had a bad experience you could tell how much their customers experience means to them,2021-09-21,5,0.074,0.769,0.157,0.7589,0.9713825
110,110,I recently ordered items as a present for my wife and forgot to take up the offer of a free gift. I contacted L'Occitane who added the gift to the order. The order arrived gift wrapped and looked fantastic.PS The products are pretty awesome as well. :),i recently ordered items as a present for my wife and forgot to take up the offer of a free gift i contacted loccitane who added the gift to the order the order arrived gift wrapped and looked fantasticps the products are pretty awesome as well ,2021-09-21,5,0.0,0.621,0.379,0.9657,0.9831157
111,111,Extremely quick help and support from the L’Occitane team.,extremely quick help and support from the loccitane team,2021-09-17,4,0.0,0.552,0.448,0.6887,0.9608581
112,112,"Due to my mistake, I complained to L'Occitane about not receiving a free gift when I made a purchase in their shop, only to be told that the offer was only for online purchases. However they sent me the free gift by post, which they didn't have to do.",due to my mistake i complained to loccitane about not receiving a free gift when i made a purchase in their shop only to be told that the offer was only for online purchases however they sent me the free gift by post which they didnt have to do,2021-09-16,1,0.282,0.718,0.0,-0.9234,0.9530685
113,113,I received a shower gel in a faulty cracked bottle and got a replacement sorted out by their helpful customer service very quickly.,i received a shower gel in a faulty cracked bottle and got a replacement sorted out by their helpful customer service very quickly,2021-09-14,5,0.104,0.769,0.127,0.128,0.8912354
114,114,"I recently had a technical problem when trying order some items, difficult to say where the problem was.After emails to customer services, Rihanna sorted theorder out efficiently and quickly.The customer service department are very efficient, friendly, in a professional manner and extremely helpful.It is pleasing to experience this efficiency.",i recently had a technical problem when trying order some items difficult to say where the problem wasafter emails to customer services rihanna sorted theorder out efficiently and quicklythe customer service department are very efficient friendly in a professional manner and extremely helpfulit is pleasing to experience this efficiency,2021-09-11,5,0.128,0.616,0.256,0.8364,0.8481465
115,115,I love L’occitane products and have bought them for years… usually in airports … but i recently paid £52 for verveine eau de toilette which smells wonderful as soon as it goes on but literally after 15 mins i cannot smell it! Same goes for the verveine refreshing water gel …. I waited so long to buy this and am so disappointed ☹️ **UPDATE** L’Occitane customer service were extremely helpful and addressed my disappointment. I received a replacement for the item. Thank you very much 😃,i love loccitane products and have bought them for years usually in airports  but i recently paid  for verveine eau de toilette which smells wonderful as soon as it goes on but literally after mins i cannot smell it same goes for the verveine refreshing water gel  i waited so long to buy this and am so disappointed  update loccitane customer service were extremely helpful and addressed my disappointment i received a replacement for the item thank you very much ,2021-09-10,5,0.107,0.731,0.162,0.6252,0.97135305
116,116,"Fantastic company, lovely helpful members of staff in both store & online. Lovely products, that smell amazing. Love the fact you’re offering a reduction in packaging & a way of recycling old product packaging. I didn’t need any perfume but I don’t think I’ve ever smelt perfume so good & my wonderful hubby spoilt me with a bottle.",fantastic company lovely helpful members of staff in both store  online lovely products that smell amazing love the fact youre offering a reduction in packaging  a way of recycling old product packaging i didnt need any perfume but i dont think ive ever smelt perfume so good  my wonderful hubby spoilt me with a bottle,2021-09-07,5,0.0,0.631,0.369,0.9737,0.97543293
117,117,Superb customer service experience. Bethany was simply brilliant. Thank you for making everything so easy.,superb customer service experience bethany was simply brilliant thank you for making everything so easy,2021-09-06,5,0.0,0.438,0.562,0.9342,0.9764395
118,118,Smooth transaction from ordering to delivery. Beautiful packaging and products,smooth transaction from ordering to delivery beautiful packaging and products,2021-09-06,5,0.0,0.698,0.302,0.5994,0.9697056
119,119,I love the almond shower oil. My mum bought it for me as a gift and I didn’t realise until the lady in the shop told me the bottles were refillable. What a great idea. Now I love it even more.,i love the almond shower oil my mum bought it for me as a gift and i didnt realise until the lady in the shop told me the bottles were refillable what a great idea now i love it even more,2021-09-17,5,0.0,0.675,0.325,0.9468,0.97377896
120,120,"I bought some lovely soap for my mother in law, and loved that it came with a refill pack to save on plastic. It also came with some free samples (face products). They smelt great and felt really good on my skin. The service was very good and the delivery was very quick. Thank you",i bought some lovely soap for my mother in law and loved that it came with a refill pack to save on plastic it also came with some free samples  they smelt great and felt really good on my skin the service was very good and the delivery was very quick thank you,2021-09-02,5,0.0,0.61,0.39,0.9808,0.97725517
121,121,"Fantastic customer service and I love the products. The hand cream smells devine, it doesn't leave a sticky residue and gives your hands a fresh feeling, it's fab!",fantastic customer service and i love the products the hand cream smells devine it doesnt leave a sticky residue and gives your hands a fresh feeling its fab,2021-08-24,5,0.0,0.487,0.513,0.9513,0.95955545
122,122,Produits de très bonne qualité je recommande,very good quality products i recommend,2021-08-23,5,0.0,0.345,0.655,0.6901,0.95524585
123,123,"I received a refill pouch of shower gel which had broken during  delivery and soaked the parcel.When I notified L'Occitane, they immediately dealt with the issue and sent me a replacement pouch by express delivery.I am very pleased with their products and service.",i received a refill pouch of shower gel which had broken during delivery and soaked the parcelwhen i notified loccitane they immediately dealt with the issue and sent me a replacement pouch by express deliveryi am very pleased with their products and service,2021-08-23,5,0.072,0.855,0.074,0.024,0.9698205
124,124,Had some problems with two orders and they were fantastic. Very friendly and genuinely apologetic. They dealt with the problems very efficiently. Will definitely continue to buy from this company.,had some problems with two orders and they were fantastic very friendly and genuinely apologetic they dealt with the problems very efficiently will definitely continue to buy from this company,2021-08-23,5,0.127,0.565,0.307,0.8248,0.96579444
125,125,Received a gift but there was no info.on who it was from. L'Occitane were extremely helpful and with their assistance I found out which friend had sent the lovely gift.,received a gift but there was no infoon who it was from loccitane were extremely helpful and with their assistance i found out which friend had sent the lovely gift,2021-08-23,5,0.063,0.497,0.439,0.9561,0.9236867
126,126,Arguably one of the best products in the beauty industry. Fast delivery and superb customer service. 5*,arguably one of the best products in the beauty industry fast delivery and superb customer service ,2021-08-22,5,0.077,0.46,0.464,0.9022,0.9562526
127,127,"Bought a gift from the official website, they offered a free gift wrap, I thought how sweet.  When arrived a gift wrap was a cheap cardboard bag with small printed ribbon( pathetic and not enough to do a decent bow)  and a sticker. Worst of all the paper  bag, said loccitane on it, now that's a lovely surprise,  as no one will ever guess what's inside. Conclusion: if you can't make a decent gift wrap,  don't advertise that you can!! Had to re- wrap my present.",bought a gift from the official website they offered a free gift wrap i thought how sweet when arrived a gift wrap was a cheap cardboard bag with small printed ribbon and a sticker worst of all the paper bag said loccitane on it now thats a lovely surprise as no one will ever guess whats inside conclusion if you cant make a decent gift wrap dont advertise that you can had to re wrap my present,2021-08-17,5,0.071,0.662,0.267,0.9477,0.9770987
128,128,"We had an amazing Pamper session, with a lovely pack of treats for hands and face, that arrived in the post.  Hollie was lovely company, and talked us through a self-facial and hand massage. A really fun and soothing evening, and we were so impressed that L'occitane had put such effort in to making this special for us.",we had an amazing pamper session with a lovely pack of treats for hands and face that arrived in the post hollie was lovely company and talked us through a selffacial and hand massage a really fun and soothing evening and we were so impressed that loccitane had put such effort in to making this special for us,2021-08-15,5,0.0,0.628,0.372,0.9815,0.9464003
129,129,lovely product with soothing feel. i am in love,lovely product with soothing feel i am in love,2021-08-12,5,0.0,0.327,0.673,0.8834,0.94853926
130,130,"Exceptional customer care from Betty, my thanks product arrived as promised in time.",exceptional customer care from betty my thanks product arrived as promised in time,2021-08-12,5,0.0,0.538,0.462,0.8225,0.81569725
131,131,Excellent customer services. I am very please with their products and how much they appreciate their customers,excellent customer services i am very please with their products and how much they appreciate their customers,2021-08-11,3,0.0,0.591,0.409,0.8399,0.96592206
132,132,Placed an order for an anniversary gift that was lost in transit. The Customer Service team bent over backwards to assist me with the lost parcel. In the end all was resolved but I take my hat off to Roddy for going over and above.,placed an order for an anniversary gift that was lost in transit the customer service team bent over backwards to assist me with the lost parcel in the end all was resolved but i take my hat off to roddy for going over and above,2021-07-31,5,0.071,0.858,0.071,-0.0,0.8616065
133,133,"I put an order in & 4 days later I received email with 20% off. Too late for my order. I messaged L'Occitane, being a bit cheeky really, & asked for the special offer to be taken off my order. They did it straight away. In my eyes they are a excellent company who care about their customers.",i put an order in  days later i received email with  off too late for my order i messaged loccitane being a bit cheeky really  asked for the special offer to be taken off my order they did it straight away in my eyes they are a excellent company who care about their customers,2021-07-30,4,0.0,0.796,0.204,0.8885,0.90903
134,134,"Caroline in the Sheffield Meadowhall store was so lovely and very helpful this morning. I’m very happy with my purchases, and the great customer service.",caroline in the sheffield meadowhall store was so lovely and very helpful this morning im very happy with my purchases and the great customer service,2021-07-28,5,0.0,0.567,0.433,0.9521,0.96423423
135,135,"Betty was so helpful , quick response and resolved the issue of my missing parcel super quick ! Will definitely use this amazing company again 😊🥰❤",betty was so helpful  quick response and resolved the issue of my missing parcel super quick  will definitely use this amazing company again ,2021-07-26,5,0.063,0.487,0.45,0.9262,0.96425164
136,136,"We had a virtual pamper session with our host Millie this evening and I could not recommend it enough. She was a fantastic host and made everyone in our party feel very welcome as well as managed to impart a spa experience at home through the creative use of scents.  Needless to say, the products used / provided were all of excellent quality and it was a really good opportunity to try the face creams / serums which had been a bit unknown for me until now.",we had a virtual pamper session with our host millie this evening and i could not recommend it enough she was a fantastic host and made everyone in our party feel very welcome as well as managed to impart a spa experience at home through the creative use of scents needless to say the products used  provided were all of excellent quality and it was a really good opportunity to try the face creams  serums which had been a bit unknown for me until now,2021-07-24,5,0.022,0.722,0.256,0.971,0.9406142
137,137,"I had a very positive lovely experience with L'OCCITANE, the customer service on line were brilliant and the staff in the shop followed up with a very happy experience.I had purchased the wrong items and they were so happy to exchange them.",i had a very positive lovely experience with loccitane the customer service on line were brilliant and the staff in the shop followed up with a very happy experiencei had purchased the wrong items and they were so happy to exchange them,2021-07-20,5,0.055,0.591,0.354,0.9562,0.9507907
138,138,"Loccitane products are really high quality and they also have a very good customer service team. Staffs in the shop are very friendly, helpful and knowledgeable. The brand is also thinking about sustainability and giving back to the community.",loccitane products are really high quality and they also have a very good customer service team staffs in the shop are very friendly helpful and knowledgeable the brand is also thinking about sustainability and giving back to the community,2021-07-20,5,0.0,0.736,0.264,0.9035,0.96108246
139,139,Popped into the Manchester market street boutique the other day. It was such a lovely experience. The staff were so friendly to me and my three year old. Product knowledge was excellent and I am very happy with what I bought. Thank you L’Occtaine,popped into the manchester market street boutique the other day it was such a lovely experience the staff were so friendly to me and my three year old product knowledge was excellent and i am very happy with what i bought thank you locctaine,2021-07-20,5,0.0,0.665,0.335,0.959,0.96875393
140,140,"I ordered a shower gel and was really disappointed that it didn't have the fragrance described. After speaking with L'Occitane, they agreed that it should have a strong and lasting scent. They wanted to test the product so asked me to send in my invoice and promised to send a returns label.I sent the invoice and packaged it up ready, only to be told the next day that the manager had overridden their decision to allow me to return the product, and that the colleague who had informed me the product should have a scent was incorrect. Apparently the product shouldn't have a distinct scent at all, despite being described on their website as ""fragrant"" and having ""a rugged aroma"".In the meantime I had ordered another bottle, based on the understanding that the first was faulty. L'Occitane is no longer willing to assist me, as they now say that the products aren't faulty and it's suddenly my own fault I don't like them. Therefore, I'm stuck with two bottles of an expensive and disappointing product that doesn't meet its own description. Regrettably, I can recommend neither the products nor the brand at this stage.Following the reply below, I wanted to clarify that L'Occitane were aware the purchase was from FeelUnique.com from the outset, and had offered to help until the sudden change of tack.",i ordered a shower gel and was really disappointed that it didnt have the fragrance described after speaking with loccitane they agreed that it should have a strong and lasting scent they wanted to test the product so asked me to send in my invoice and promised to send a returns labeli sent the invoice and packaged it up ready only to be told the next day that the manager had overridden their decision to allow me to return the product and that the colleague who had informed me the product should have a scent was incorrect apparently the product shouldnt have a distinct scent at all despite being described on their website as fragrant and having a rugged aromain the meantime i had ordered another bottle based on the understanding that the first was faulty loccitane is no longer willing to assist me as they now say that the products arent faulty and its suddenly my own fault i dont like them therefore im stuck with two bottles of an expensive and disappointing product that doesnt meet its own description regrettably i can recommend neither the products nor the brand at this stagefollowing the reply below i wanted to clarify that loccitane were aware the purchase was from feeluniquecom from the outset and had offered to help until the sudden change of tack,2021-07-16,5,0.098,0.829,0.074,-0.6911,0.93944335
141,141,I absolutely loved the Virtual Pamper evening. Hollie made me feel immediately relaxed and carefully explained each step of the routine. Thanks again!,i absolutely loved the virtual pamper evening hollie made me feel immediately relaxed and carefully explained each step of the routine thanks again,2021-07-15,5,0.0,0.604,0.396,0.8955,0.8864902
142,142,"So, I bought one of my favourite Eau de Toilette's back in January. Hadn't quite finished my old bottle but once I did, I used the new bottle twice and by the third time, the spray pump broke. I emailed L'Occitane to ask for a new pump. Instead, I received a brand new bottle!! Now that's customer service! All sorted in a week!! Fabulous!",so i bought one of my favourite eau de toilettes back in january hadnt quite finished my old bottle but once i did i used the new bottle twice and by the third time the spray pump broke i emailed loccitane to ask for a new pump instead i received a brand new bottle now thats customer service all sorted in a week fabulous,2021-07-15,5,0.059,0.867,0.074,0.2263,0.9662249
143,143,"I wanted an update on my order as I am dying to try my new deodorant! I received a prompt reply from Betty. She was very thoughtful, helpful and nice. After having a quick chat about the product I chosen with her, I am even more excited to receive it at home! Can't wait to try it.",i wanted an update on my order as i am dying to try my new deodorant i received a prompt reply from betty she was very thoughtful helpful and nice after having a quick chat about the product i chosen with her i am even more excited to receive it at home cant wait to try it,2021-07-09,5,0.0,0.8,0.2,0.8876,0.9691289
144,144,"My ordered was returned to sender but upon speaking to customer service (Bethany) a new parcel was sent out very quickly. Great customer service, lovely products, packaged well with the environment in mind. All in all very pleased.",my ordered was returned to sender but upon speaking to customer service a new parcel was sent out very quickly great customer service lovely products packaged well with the environment in mind all in all very pleased,2021-07-07,1,0.0,0.637,0.363,0.9648,0.97261906
145,145,"I always find the products to be as advertised , of good quality and I enjoy the beautiful natural fragrances The special offer gifts are a welcome extra indulgence Averill",i always find the products to be as advertised  of good quality and i enjoy the beautiful natural fragrances the special offer gifts are a welcome extra indulgence averill,2021-07-07,5,0.0,0.524,0.476,0.9531,0.9774788
146,146,"Found L'Occitane in May, and in the space of a month I've been back about 3 times. All 4 sales associates have been wonderful. They were very honest with their recommendations and were so helpful in helping me and my sister understand the usage of different products. I actually do have faith that they care more about making the customer happy and satisfied than they care about selling the product. As someone who gets anxious talking to people, i feel confident i can walk in and receive helpful advice.",found loccitane in may and in the space of a month ive been back about times all sales associates have been wonderful they were very honest with their recommendations and were so helpful in helping me and my sister understand the usage of different products i actually do have faith that they care more about making the customer happy and satisfied than they care about selling the product as someone who gets anxious talking to people i feel confident i can walk in and receive helpful advice,2021-07-02,5,0.018,0.652,0.33,0.9871,0.98378015
